"id";"nombre";"abreviatura";"urlgob";"url";"facebook";"twitter";"instagram";"linkedin";"youtube";"tiktok"
1654;"Municipalidad Distrital de Padre Márquez";"MDPM";"/munipadremarquez";"www.gob.pe/munipadremarquez";"www.facebook.com/profile.php?id=100088812446056&mibextid=ZbWKwL";"";"";"";"";""
1655;"Municipalidad Distrital de Sarayacu ";"MDS";"/munisarayacu";"www.gob.pe/munisarayacu";"www.facebook.com/profile.php?id=100089068783437";"";"";"";"";""
1656;"Municipalidad Provincial de Ucayali - Contamana";"MPU";"/muniucayali";"www.gob.pe/muniucayali";"www.facebook.com/muniucayali.contamana/";"";"";"";"";""
1657;"Municipalidad Distrital de Huepetuhe";"MDH";"/munihuepetuhe";"www.gob.pe/munihuepetuhe";"www.facebook.com/MuniHuepetuheOficial";"";"www.instagram.com/huepetuhe/";"";"www.youtube.com/@MuniHuepetuhe";"www.tiktok.com/@municipalidadhuepetuhe"
1658;"Municipalidad Distrital de Madre de Dios";"MDMD";"/munimadrededios";"www.gob.pe/munimadrededios";"www.facebook.com/Municipalidad Distrital de Madre de Dios 2019-2022";"";"";"";"";""
1659;"Municipalidad Distrital de Iberia";"MDI";"/muniiberia";"www.gob.pe/muniiberia";"www.facebook.com/profile.php?id=100089727153234";"";"";"";"";""
1660;"Municipalidad Distrital de Tahuamanu";"MDT-SL";"/munitahuamanu-sanlorenzo";"www.gob.pe/munitahuamanu-sanlorenzo";"www.facebook.com/MDTahuamanu/";"";"";"";"";""
1661;"Municipalidad Provincial de Tahuamanu - Iñapari";"MPT";"/munitahuamanu-inapari";"www.gob.pe/munitahuamanu-inapari";"www.facebook.com/profile.php?id=100089750353525";"";"";"";"";""
1662;"Municipalidad Distrital de Inambari";"MDI";"/muniinambari";"www.gob.pe/muniinambari";"www.facebook.com/Muni.Inambari.Mazuko";"";"www.instagram.com/municipioinambari/";"";"www.youtube.com/@MDI-2023";"www.tiktok.com/@muniinambari2023"
1663;"Municipalidad Distrital de Laberinto";"";"/munilaberinto";"www.gob.pe/munilaberinto";"www.facebook.com/profile.php?id=100089422691385";"";"";"";"";""
1664;"Municipalidad Distrital de Las Piedras ";"MDLP";"/munilaspiedras";"www.gob.pe/munilaspiedras";"www.facebook.com/MunicipalidadDeLasPiedras/";"www.twitter.com/munilaspiedras";"www.instagram.com/munilaspiedras/";"";"www.youtube.com/channel/UCneFzAGtAsB_MC-sHjJPkRw";""
1665;"Municipalidad Provincial de Tambopata";"MPT";"/munitambopata";"www.gob.pe/munitambopata";"www.facebook.com/100089230356112/";"";"";"";"www.youtube.com/@MunicipalidadProvincialdeTambo";""
1666;"Municipalidad Distrital de Chojata";"MDCH";"/munichojata";"www.gob.pe/munichojata";"www.facebook.com/profile.php?id=100088889449328";"";"";"";"";""
1667;"Municipalidad Distrital de Coalaque";"MDC";"/municoalaque";"www.gob.pe/municoalaque";"www.facebook.com/ muni.coalaque/";"";"";"";"";""
1668;"Municipalidad Distrital de Ichuña";"MDI";"/muniichuña";"www.gob.pe/muniichuña";"www.facebook.com/profile.php?id=100089732706800";"";"";"";"www.youtube.com/channel/UCXcL7UIn0lMNlI-Hl1l9gxQ";""
1669;"Municipalidad Distrital de La Capilla";"";"/munidelacapilla";"www.gob.pe/munidelacapilla";"www.facebook.com/profile.php?id=100088998737262";"";"";"";"";""
1670;"Municipalidad Distrital de Lloque";"MDLL";"/munilloque";"www.gob.pe/munilloque";"www.facebook.com/profile.php?id=100089729761880";"";"";"";"";""
1671;"Municipalidad Distrital de Matalaque";"MD - MATALAQUE";"/munimatalaque";"www.gob.pe/munimatalaque";"www.facebook.com/munimatalaque/?locale=es_LA";"";"";"";"";""
1672;"Municipalidad Distrital de Villa Puquina";"MDVP";"/munivillapuquina";"www.gob.pe/munivillapuquina";"www.facebook.com/villaPuquina/?locale=es_LA";"";"";"";"";""
